cd,our_code,name
THA,THA00,Thailand
TLS,TLS00,Timor-Leste
TGO,TGO00,Togo
TON,TON00,Tonga
TTO,TTO00,Trinidad and Tobago
TUN,TUN00,Tunisia
TUR,TUR00,Turkey
TKM,TKM00,Turkmenistan
TCA,TCA00,Turks and Caicas Islands
UGA,UGA00,Uganda
UKR,UKR00,Ukraine
ARE,ARE00,United Arab Emirates
GBR,GBR00,United Kingdom
USA,USA00,United States
URY,URY00,Uruguay
UZB,UZB00,Uzbekistan
VAT,VAT00,Vatican City
VEN,VEN00,Venezuela
VNM,VNM00,Vietnam
VIR,VIR00,Virgin Islands
WLF,WLF00,Wallis and Futuna
ESH,ESH00,Western Sahara
YEM,YEM00,Yemen
ZMB,ZMB00,Zambia
ZWE,ZWE00,Zimbabwe
